ax,ay,az
14464,16,6920
14468,60,6916
14340,124,7068
14512,132,7020
14468,84,6884
14564,8,7088
14492,152,6940
14540,108,6932
14384,196,6972
14460,100,6964
14592,140,6760
14404,-4,6920
14516,88,6912
14480,-52,7016
14400,124,6924
14532,92,6948
14468,116,7064
14552,112,6884
14508,48,6796
14452,-20,6864
14476,52,6972
14484,48,6976
14492,-8,7060
14444,4,6800
14588,28,6904
14500,4,7072
14616,104,6868
14536,148,6972
14576,80,7060
14448,52,6992
14460,216,6940
14596,124,6980
14728,736,7564
15240,848,7336
14916,504,7352
14780,332,7152
14720,328,6888
14636,132,7232
14544,264,7000
14512,160,7136
14532,192,6920
14556,-84,6856
14508,116,6852
14356,92,6796
14540,-20,6924
14492,100,6984
14388,16,7032
14484,96,6964
14584,124,6884
14564,4,7004
14444,76,6920
14360,4,7008
14408,36,6892
14564,100,6788
14412,-76,7124
14576,140,6680
14488,-56,7016
14500,88,6812
14480,100,6936
14360,68,7048
14524,296,6756
14536,92,7008
14588,180,6772
14492,128,6936
14452,140,7008
14412,180,6956
14560,144,6868
14520,108,7084
14504,68,6988
14492,-8,6980
14380,-8,6980
14508,124,6788
14532,144,7100
14440,64,6968
14548,56,7044
14536,68,7068
14600,-28,7068
14608,0,6980
14540,180,6864
14536,-32,6900
14400,64,6884
14436,-16,6992
14512,52,6992
14584,48,7068
14412,28,6800
14452,144,6892
14456,-56,6920
14504,60,6872
14388,84,6948
14444,48,6904
14520,84,6964
14428,16,6916
14624,100,6972
14520,96,6928
14392,156,6972
15080,532,7424
14540,-28,6880
14292,-16,7044
14568,12,6948
14424,-188,7384
14600,192,6620
14428,-196,7300
14568,192,6792
14464,-172,6768
14416,-96,7200
14552,120,6796
14456,-168,7256
14560,64,6848
14616,-40,6992
14540,-64,7048
14500,100,7012
14456,-16,6912
14532,124,6888
14432,120,6988
14440,40,6876
14496,84,6980
14372,164,6992
14512,248,6928
14464,132,6992
14464,156,6832
14528,156,6956
14424,60,6944
14556,204,6712
14540,124,6812
14556,52,7040
14508,152,7016
14484,44,6836
14560,-8,6976
14572,-8,6892
14540,-148,7116
14408,36,6852
14464,-68,7044
14520,-108,7020
14480,20,7052
14456,-88,7044
14560,12,7028
14540,92,7012
14472,40,6976
14588,124,6780
14396,40,6736
14508,32,6892
14580,140,6972
14460,44,7132
14512,160,6816
14464,108,7136
14520,264,6892
14408,140,7064
14508,140,6940
14552,208,6864
14468,204,6940
14548,124,6936
14552,156,7008
14476,108,6936
14492,60,6812
14484,52,7060
14588,56,6884
14528,72,6904
14500,180,6868
14508,44,6976
14448,20,7116
14424,-176,7000
14320,-44,6744
14588,-252,7164
14532,20,6708
14564,28,7048
14684,88,7000
14572,48,7240
14700,-60,7132
14624,40,7172
14596,140,6988
14468,100,7020
14484,28,6764
14416,8,6860
14584,144,6968
14560,124,6872
14420,136,6824
14560,124,6980
14480,280,6880
14444,116,6772
14508,48,7056
14524,116,6920
14452,112,6864
14492,4,7028
14484,192,6920
14508,20,6788
14508,56,6940
14540,68,6808
14528,4,7000
14516,-36,7100
14572,20,7024
14548,48,7044
14460,36,6908
14472,144,6892
14448,88,6888
14676,216,6744
14452,108,6908
14428,64,6860
14596,208,6932
14456,-24,7036
14464,48,6936
14552,76,6912
14540,64,6992
14444,156,6976
14460,116,6928
14236,96,6700
14840,164,7452
14596,272,6752
14484,-24,6904
14460,40,6784
14472,-20,6972
14464,136,6792
14464,-128,7084
14640,176,6860
14588,-56,7044
14504,44,6980
14572,84,6964
14432,-136,7140
14592,60,6964
14536,-52,6964
14608,84,6980
14500,104,6928
14540,88,6980
14548,184,6976
14484,72,6948
14572,20,6924
14596,36,6912
14412,72,6764
14524,76,6876
14468,-88,6892
14592,160,6892
14556,80,6912
14548,104,7028
14640,188,7012
14468,128,6916
14340,0,6948
14328,-180,6860
14284,36,6976
14580,-24,6976
14664,40,6952
14504,96,6792
14484,128,7100
14456,140,6900
14480,32,6984
14484,-28,6988
14276,-48,6920
14432,156,6988
14456,80,6968
14464,120,6900
14488,200,6980
14348,40,6932
14412,116,6928
14496,100,6904
14428,52,7056
14556,84,6944
14504,56,6852
14516,140,6928
14480,16,7048
14484,0,6872
14608,116,7028
14552,160,6892
14572,108,6936
14552,-196,7036
14512,72,6980
14548,176,6832
14416,40,6928
14440,132,6888
14524,192,7084
14500,28,7000
14532,112,6980
14536,216,6960
14476,140,7072
14508,116,6980
14580,236,6872
14580,72,6984
14608,120,6904
14532,112,6724
14352,196,6992
14464,20,6920
14584,152,6984
14364,116,7012
14612,36,6940
14452,80,6900
14404,64,7092
14652,168,6896
14496,88,7032
14600,148,7132
14488,144,6964
14480,16,7060
14540,40,7016
14464,76,6888
14488,64,7004
14512,168,6840
14428,112,7172
14460,112,6780
14460,156,6848
14504,16,7024
14580,108,7044
14512,60,6932
14424,8,7048
14496,160,6888
14484,200,7008
14560,84,6992
14452,16,6992
14564,112,7000
14456,84,6876
14440,-32,7072
14508,44,7024
14444,16,6972
14608,76,6920
14556,36,6964
14512,-28,6960
14444,72,7004
14476,156,6896
14396,32,6980
14532,88,6864
14440,12,6972
14484,52,6884
14540,128,6920
14496,68,6980
14468,76,6944
14564,72,6952
14600,60,6916
14512,124,6904
14448,88,7024
14552,164,6820
14492,52,6912
14576,48,6964
14492,16,6920
14468,84,6868
14600,24,7048
14456,64,7140
14456,32,6896
14480,156,6900
14580,112,6868
14476,16,6932
14576,152,6988
14480,144,7120
14468,120,6888
14468,168,7012
14516,16,7068
14560,72,6928
14592,76,6876
14440,20,6736
14504,52,6944
14468,124,6932
14388,28,6776
14412,-32,7064
14576,124,7012
14512,12,6728
14440,-20,7080
14596,56,6876
14604,4,6972
14536,64,6872
14484,84,6864
14548,192,7100
14512,204,7036
14368,84,7076
14564,284,6892
14556,120,7028
14400,192,6996
14636,160,6940
14516,176,6876
14496,120,6760
14328,148,7164
14260,52,6788
14216,-8,6772
14380,80,6872
14468,24,6892
14496,-16,6748
14564,60,7044
14536,96,7012
14496,0,6956
14544,52,6864
14544,112,6964
14408,0,6964
14528,12,6944
14384,108,6920
14564,76,7096
14516,-8,6996
14440,32,6968
14560,112,7060
14448,116,6984
14520,148,6988
14540,136,7104
14564,76,6768
14576,144,6952
14516,16,6892
14456,204,6928
14552,208,6904
14460,80,7032
14532,160,6904
14492,92,6900
14480,8,6984
14484,96,6948
14456,100,6932
14464,68,6848
14536,48,7140
14624,32,6904
14452,92,6756
14684,-68,6968
14516,-28,6900
14428,-80,6852
14512,24,6824
14520,100,7100
14536,-8,6844
14508,4,6936
14488,48,6912
14448,40,6972
14444,88,6956
14604,164,6912
14464,108,7004
14536,92,6884
14576,196,6984
14768,704,7168
16756,2072,8684
15492,856,7440
15180,424,7348
14704,432,7160
14576,104,7324
14576,144,7044
14544,116,6948
14512,136,6968
14456,32,6956
14620,100,7056
14540,88,6908
14484,24,7076
14592,28,7032
14488,104,6980
14548,64,6908
14568,108,6920
14440,112,7124
14432,88,6976
14464,52,6948
14504,108,6952
14380,224,6916
14512,100,6956
14512,116,7024
14576,132,6924
14456,128,7048
14484,8,6988
14428,4,6876
14524,88,6788
14468,144,6976
14520,112,6964
14416,-12,6960
14508,12,7068
14480,-16,6920
14480,68,6944
14484,20,6940
14504,40,6948
14480,20,6968
14476,160,6948
14564,120,7000
14512,4,6912
14488,48,6916
14524,84,6944
14524,80,6892
14456,136,6932
14540,0,6912
14492,72,6988
14468,124,6988
14484,156,6916
14476,188,6832
14572,152,6892
14492,280,6932
14436,40,6816
14528,108,6912
14512,124,6892
14548,100,6956
14524,120,6936
14512,232,7072
14468,80,6928
14516,48,7100
14612,-32,6948
14500,120,6792
14544,0,6716
14472,168,6936
14528,20,6956
14508,-16,6920
14572,40,6892
14516,-20,7008
14396,120,7016
14528,16,6908
14480,56,6984
14524,84,7060
14424,108,6948
14504,24,6884
14456,-12,6976
14492,88,6912
14532,56,7020
14528,-20,6920
14500,128,6924
14524,112,6960
14532,112,6876
14548,76,6924
14528,132,6960
14468,76,7000
14464,124,7020
14552,136,6848
14536,24,7032
14548,60,6876
14568,80,6992
14484,48,7060
14452,-28,6936
14524,-4,7120
14456,-12,7096
14528,0,6948
14536,36,6828
14484,88,6928
14500,124,6804
14564,196,6948
14528,84,6964
14524,140,6940
14524,160,6988
14524,48,6948
14480,28,6912
14484,176,7088
14444,80,6760
14464,-120,6860
14460,-8,6884
14656,100,6988
14528,16,6944
14604,152,6948
14464,24,6920
15100,232,7448
14348,-384,7000
14648,168,7028
14400,-52,7116
14580,84,6832
14484,20,7152
