ax,ay,az
16608,-1740,932
16240,-1608,956
16332,-1532,696
16324,-1856,708
16760,-2212,276
16792,-2176,1024
16828,-1888,656
16632,-1688,1056
16644,-1496,828
16284,-1568,748
16772,-1404,728
16008,-1488,1076
16256,-1396,588
16644,-1760,640
16680,-1944,1080
16524,-1852,520
16536,-1920,616
16744,-2176,1396
17068,-1992,1120
17136,-1992,1104
16340,-1864,1500
16268,-1656,348
15928,-1732,644
16356,-1876,1348
16232,-1840,980
16388,-2108,832
16604,-2188,920
17156,-2180,880
16620,-2080,1260
16476,-2036,1076
16256,-1824,1224
16452,-1540,876
16432,-1916,388
16636,-2164,1076
16536,-2064,1032
16368,-1784,916
16580,-1704,1572
16856,-1920,728
16164,-2216,856
16248,-1736,668
16836,-1996,772
16764,-1912,972
16424,-1760,1136
16304,-1544,1364
16352,-1920,368
16224,-2120,648
16340,-2272,816
16804,-2424,888
16760,-2036,1044
16408,-1584,1200
16600,-988,1040
16444,-1616,1036
16716,-1972,732
16912,-2084,856
16728,-1788,848
16332,-1780,1196
16276,-1700,712
16560,-1904,980
16532,-2244,1296
16952,-2368,960
16652,-2212,456
16540,-1988,940
16324,-1684,1008
15984,-1592,612
16356,-1888,876
16320,-1712,1068
16964,-1892,892
16396,-1936,488
16524,-1976,1464
16300,-2044,968
16316,-1992,940
16488,-2060,436
16716,-2180,644
16456,-1884,388
16624,-1612,804
16300,-1652,1276
16248,-1836,1040
16188,-1744,824
16356,-2128,540
16836,-2236,544
16736,-1804,1520
16816,-1832,1548
16452,-1796,752
16448,-2308,520
16384,-2068,784
16304,-2052,936
16396,-1732,308
16408,-1892,1148
16608,-1716,1252
16392,-1960,788
16448,-1628,300
16600,-1960,808
16672,-1604,996
16800,-1656,1148
16952,-1836,1208
16204,-1804,736
15944,-1728,136
16272,-1768,820
16892,-1876,1320
16608,-1632,704
16200,-1696,1456
16468,-1772,784
16764,-2056,596
16368,-1752,1456
16352,-1400,1408
16952,-2076,748
17132,-2024,752
16724,-1956,1232
16484,-1676,984
16380,-1900,816
16464,-1768,512
16124,-1676,1032
16492,-1372,544
16396,-1480,224
16008,-1276,1100
16568,-1280,1348
16836,-1860,1108
16880,-2136,1172
16756,-2384,688
16392,-2260,-84
16052,-1772,876
16136,-1476,1344
16500,-1564,856
16460,-1692,1196
16524,-2044,1092
16700,-2252,1180
17384,-2080,1092
16252,-1516,1068
16284,-1720,1432
16376,-1932,652
16292,-1808,792
16544,-1884,1296
16988,-2144,1184
16436,-1784,1000
16440,-1736,1616
16272,-1580,1444
16180,-1444,820
16832,-1476,480
16500,-2036,1280
16648,-2016,624
16964,-2304,928
16756,-2008,1420
16344,-2012,1040
16364,-1956,1056
16224,-1860,744
16400,-2060,544
16672,-2392,1088
16656,-1892,212
16428,-1444,804
16076,-1580,432
16616,-2176,732
16656,-1920,1152
16488,-1896,1120
16608,-1872,1032
16728,-1800,440
16544,-1696,1000
16564,-1940,1112
16876,-2052,1048
16588,-1652,392
15968,-1668,1244
16428,-1632,1308
16428,-1912,696
16408,-1900,572
17048,-1824,524
16708,-1704,720
16336,-1536,1312
16336,-1760,964
16396,-1560,692
16528,-1592,1104
16356,-1740,696
16620,-1916,1116
16532,-1752,1264
16236,-1492,720
16360,-1700,888
16904,-1788,676
16540,-2008,1440
16584,-1876,1072
16752,-1900,952
16484,-1744,712
16332,-1672,836
16480,-1616,588
16292,-1596,1204
16392,-1428,784
16520,-1604,452
16512,-1556,800
16452,-1520,552
16456,-1540,380
16200,-1256,956
16396,-1372,1224
16744,-1436,1200
16720,-1616,64
16496,-1344,812
16624,-1484,1692
16656,-1844,1328
16868,-2036,712
16664,-1748,948
16260,-1360,960
16312,-1540,704
16316,-1856,1112
16232,-1896,692
16396,-1944,460
16440,-2096,984
16744,-1932,1236
16304,-1772,1840
16064,-1980,680
16484,-2192,552
16940,-2380,884
16860,-2164,1424
16484,-1920,1548
16164,-1588,1112
16204,-1700,1204
16576,-1852,884
16348,-1780,848
16692,-1784,1244
16844,-2040,1504
16884,-2228,1200
16212,-2224,992
16244,-2072,1112
16376,-1828,728
15916,-1560,940
16288,-1848,640
16400,-2100,588
16844,-1956,1556
16188,-1968,1056
16536,-1988,928
16804,-2396,1160
16140,-2152,808
16348,-2164,552
16396,-2156,884
16696,-1796,956
17008,-1832,1440
16268,-1568,1688
16132,-1768,1576
