ax,ay,az
15676,-1152,-2184
13516,-624,-2668
15160,-3000,-864
15052,-3084,-344
15448,-3220,-960
16120,-3068,-32
15476,-2188,-1796
17500,-3068,-292
18500,-2516,-1104
18276,-1328,0
17204,-2476,-108
17412,-2356,180
17680,-2408,1172
17000,-2104,800
16540,-1000,684
17208,-1596,1588
16988,-1108,1432
17008,-1392,1952
16972,-1620,1532
17204,-1792,2272
15904,-1032,1468
16872,-1772,1816
17164,-1956,1120
18256,-2088,1152
18564,-1632,1372
17504,-2756,972
17748,-2104,1416
17576,-2636,940
17896,-1504,1736
16824,-1792,224
16508,-2008,-564
16212,-2484,-96
15484,-2992,20
16328,-2544,-644
16232,-3184,-248
15616,-3108,-380
15448,-2968,-1576
15516,-4004,-1088
16540,152,-2316
16284,-2412,-1612
14980,-2524,-1780
15636,-2188,-1956
16620,-2144,-840
16428,-2676,-1176
17000,-2460,-636
17044,-2472,-916
16620,-2528,-176
16488,-2584,-840
17008,-3120,264
16600,-2564,-664
16404,-2700,-768
17016,-2896,32
16980,-3092,212
16504,-2820,116
16824,-3216,108
16644,-2624,-280
16716,-2508,-252
16440,-2376,-520
16768,-2352,-396
16252,-2484,-336
16004,-2388,-520
16724,-2592,-404
16476,-2492,-20
16184,-2564,-532
16980,-2120,-68
16860,-2452,-68
16408,-2268,-32
16732,-2364,-372
16580,-2324,-396
16716,-2452,-328
16788,-2372,-372
16520,-2176,108
16464,-2244,-188
16640,-2344,224
16336,-2232,-252
16584,-2296,-188
16576,-2168,-160
16440,-2100,-60
16900,-2184,-64
16712,-2272,-128
16840,-2172,-136
16580,-2432,240
16696,-2244,-312
16356,-2272,-84
16656,-2148,-8
16280,-2212,-116
16652,-2348,-76
16740,-2164,144
16392,-2108,-164
16716,-2236,296
16416,-2048,-160
16396,-2408,-56
16016,-1948,-540
16636,-2284,692
16844,-2516,624
16708,-2476,164
16188,-2300,-124
17008,-2516,628
16440,-2388,92
16436,-2288,208
16740,-2244,292
16360,-2348,156
16800,-2140,200
16412,-2116,44
16912,-2264,284
16548,-2156,80
16340,-2328,-148
16272,-2540,360
16128,-2312,40
16888,-2404,560
16492,-2256,208
16848,-2348,288
16524,-2272,236
16456,-2336,224
16580,-2244,232
16432,-2300,0
16488,-2232,436
16740,-2400,576
16412,-2312,228
16848,-2392,440
16332,-2244,296
16436,-2340,-56
16676,-2188,724
16592,-2272,512
16148,-2060,-192
16580,-2396,208
16564,-2312,308
16704,-2540,264
16712,-2152,392
16148,-2212,236
16536,-2216,504
16632,-2212,248
16632,-2064,348
16420,-2000,92
16344,-2248,208
16544,-2372,308
16868,-2208,12
16880,-2136,588
16752,-1980,-32
16516,-2088,552
16716,-2244,344
16468,-2096,620
16624,-2116,72
16272,-2204,408
16268,-2160,504
16492,-2224,536
16456,-2092,276
16496,-1980,384
16560,-2036,612
16548,-2124,352
16692,-2424,248
16824,-1988,612
16684,-2128,512
16836,-2116,708
16492,-2008,584
16416,-2032,464
16420,-2156,820
16332,-2348,268
16508,-2084,500
16428,-2004,468
16732,-2276,372
16264,-1960,20
16436,-1652,268
16604,-2360,828
16732,-2108,952
16640,-1852,368
16932,-2060,784
16276,-1940,36
16824,-1848,696
16476,-2004,512
16588,-1704,384
16540,-1900,408
16460,-1996,484
16416,-2116,576
16400,-2116,616
16488,-2096,760
16508,-2080,712
16704,-1816,464
16764,-2120,736
16648,-1948,608
16496,-2096,436
16700,-2028,528
16556,-1924,508
16540,-1980,608
16728,-1872,524
16484,-1904,668
16228,-1896,520
16312,-1936,708
16560,-2108,592
16372,-2056,160
16732,-1864,416
16332,-1924,384
16712,-2024,736
16472,-1984,1000
16408,-2072,880
16704,-1932,908
16772,-2016,616
16684,-1948,588
16632,-1988,508
16496,-1968,488
16696,-1764,552
16736,-1792,672
16640,-1840,600
16608,-1652,956
16620,-1844,736
16008,-1872,284
16516,-2324,536
16812,-2792,1028
16712,-2036,1056
16364,-1516,644
16500,-1640,316
16988,-1856,720
17060,-2072,1008
16776,-2008,808
16380,-1876,688
16508,-2000,608
16160,-1964,612
16280,-1956,704
16620,-2240,740
16824,-2008,868
16584,-2012,316
16308,-1876,848
16792,-2024,912
16372,-2056,388
16504,-1960,660
16712,-2132,1012
16400,-1852,768
16652,-1896,600
16804,-1664,808
16684,-1852,776
16440,-1880,576
16588,-1976,468
16292,-1784,660
16624,-1872,516
16536,-1888,628
16444,-1956,604
16720,-1844,704
16288,-2012,904
16580,-1896,772
16532,-1944,556
16416,-2056,636
16264,-1944,672
16456,-2068,924
16760,-2076,756
17024,-1724,828
17688,-1992,1124
19832,-2404,808
21816,-2008,2984
21036,-996,1060
19640,-1612,1268
17552,-2044,536
17652,-1180,1412
13844,-2292,-248
7996,-636,-2100
7128,-1472,-2496
13108,436,7952
7372,-1332,-5872
11256,-4356,-1264
11952,-2948,-2776
19472,-4480,3320
19416,1876,1520
24352,-1568,772
22512,-788,2812
23096,-124,2328
19332,-1336,1432
17504,-904,548
16464,-1044,796
16620,-1276,952
16304,-832,832
