ax,ay,az
15932,300,-3372
13780,-4292,-132
15148,-2148,-1000
12768,-1376,-936
13428,-4000,-560
13416,-6220,-2336
15984,-6588,-1536
18216,-9200,-776
18972,-8420,2868
19444,-5608,2080
18712,-5660,2240
18900,-6472,3508
18272,-1056,996
19160,-1152,1484
16200,4472,-888
16452,2804,176
15888,2212,-2444
10988,9152,-10988
13804,10092,-2796
7620,280,-120
12400,52,-4140
17116,-1576,-1552
14068,-1372,-1376
14140,-5880,-860
12424,-10984,-2180
8464,-9432,2560
13508,-7644,2212
15832,-5964,1268
19232,-5144,1048
18928,-2660,2076
19184,-2960,1704
18136,-240,-412
21512,2388,6408
15696,3104,1264
18712,2336,-988
16140,4076,-2704
17816,7548,-3216
17288,6016,-1364
14980,3412,-1668
15404,2484,-1540
14472,624,-1508
15248,-1620,-1676
15728,-2724,-3128
13516,-4208,-1456
11876,-4424,-2176
11336,-10528,-732
15084,-4264,-1804
14192,-8792,-40
15152,-2508,264
18964,-3132,596
19072,284,288
18652,1056,940
19280,1892,-1968
19860,1436,-252
19264,1232,-12
17384,4300,-1788
20104,6544,-1524
16480,5744,-3468
15048,3632,-1864
12340,3220,-3112
14024,692,-2720
12868,328,-1976
12220,-3316,-2128
15204,-4800,-352
13492,-6336,-3044
13312,-11512,-1944
15700,-3368,-2400
17668,-5760,-1308
19236,-2504,-420
13768,-2168,-5996
20156,820,652
18744,2340,-908
18424,1880,-1884
17736,1284,72
18828,5240,-2004
17908,6200,-384
17036,5748,-1988
15420,4064,-576
13192,1484,-1956
13004,-896,-196
13348,-1504,-2776
13872,-3184,-1528
8108,-5996,-3104
12408,-5644,-1380
16484,-6672,-1840
16992,-4308,-512
18632,-1288,-1264
17812,-1120,1040
19844,3340,2700
17900,2392,1312
20908,2148,4
18348,3848,-1108
18932,2756,172
17756,3928,48
17552,6260,-1044
14932,5476,-2512
15564,2868,-872
14872,-488,696
14860,-1268,-1156
12276,-5152,-216
13704,-3728,-1184
14060,-5176,-2116
14720,-6604,-572
15052,-8544,1720
17096,-3768,-364
18848,-4304,-596
18568,-1144,488
18200,-672,1160
18548,148,924
17232,1348,-1388
19580,2120,536
18760,3380,-2056
17988,3256,-156
16664,2500,-3112
14240,112,-3068
13872,-1812,-1308
11368,-3192,-2256
16228,-5944,-1328
12784,-7384,-2608
13952,-3872,-2932
14800,-5368,-2052
17288,-4008,-256
16656,-4128,-724
17032,-2000,580
18116,2996,-312
19044,1400,-1500
19920,3380,-1056
16628,3888,-2708
16880,2224,-684
16960,5392,-2516
15300,6860,-2840
16304,5760,-2796
15304,1420,-1032
16640,-512,-4
15904,-1784,-1228
14124,-3404,-168
17320,-3052,-1908
15112,-6484,-1976
14480,-5560,-992
17848,-7876,-1972
18220,-6116,-1560
16616,-8812,-2724
16464,-8704,-2592
13100,-7608,-4736
13076,-9408,-3072
13540,-7444,-1768
13332,-10940,-2824
12568,-8988,-3236
12788,-8484,-3432
11556,-6660,-3096
12180,-5092,-4024
15232,-7468,-2884
12960,-3416,-5368
19476,-1224,-1412
18204,-1628,-636
18220,-232,-1068
18192,1320,2176
15772,-892,5236
21128,3404,7196
17868,-792,4936
18376,-1560,6064
20716,3144,-1248
14984,-3016,576
12444,-3388,-4148
15316,-1908,-1192
13152,-2520,-3372
13912,-752,-2284
16596,-4380,-5268
15704,-4584,-5412
16740,-1656,-5048
21956,-652,-3380
24764,1336,-16
24564,1424,-1420
21388,332,-956
18792,-3416,-372
15976,-1612,-1676
15896,2172,-960
15164,-2872,292
14492,-3212,-592
13488,-3472,-836
12064,-2228,-1444
12516,-2908,-1508
9392,-3136,-1752
10464,-3444,-2480
10932,-976,-1768
12884,-388,-2000
14388,-2024,-1160
16032,-2768,2004
19660,100,-1080
19932,1204,8108
24680,3168,3140
20300,2904,7552
20216,3376,6820
19356,2336,5964
16988,1216,1976
16408,2136,2104
12984,2372,1944
14592,840,4844
15604,340,5096
15072,-972,6252
15292,-796,5932
14136,-1752,9548
18632,4696,4976
17748,1784,5108
13988,4988,5628
22124,-700,8056
17340,-2984,1184
28864,7052,3952
15804,-4608,-2104
15476,-1456,-3356
12500,-1008,48
14244,-2260,-720
12616,-1228,-1628
14780,-1072,-372
12308,-1056,-2220
14588,-1044,-2332
12624,-2180,-1304
13204,-2788,-2360
13444,-1252,-3192
15620,-4600,212
14300,-1796,-4200
12980,-2052,-1548
16412,-1540,-3484
17196,-164,-2288
17444,-2232,-688
14032,-1712,1856
21444,-868,-928
20520,3500,-7060
22260,740,3884
22128,3668,5152
20944,4440,-476
17948,3336,4532
15944,-1704,3972
15780,-6188,3056
15512,-3180,6604
15344,3008,6120
17912,-3416,10972
17808,-108,5720
24592,2580,10384
19640,1488,7024
22120,4488,5824
17788,-5684,7476
12604,-3020,1840
14116,-4556,1124
13764,-2940,540
13556,-2612,-2708
13780,-2168,-3388
13048,-3776,-5700
12396,-724,-8808
17336,-804,-1396
15932,-4168,-416
14080,-116,-388
15180,-2008,1036
13472,1132,508
13216,-1124,-1840
13596,-464,-2988
15848,-864,1552
15432,-2480,-1148
17228,-2708,-1048
18004,-2780,-708
17432,-3740,-1068
18376,-4884,444
18104,-7752,-872
18824,-9044,220
17368,-10816,2052
17508,-9116,1216
16296,-6916,940
15312,-4556,928
14412,-1456,-1644
12456,-288,-48
13160,360,-1488
15432,2156,1392
